"Title","Image","Content","Date"

"Amnesty bins yield thousands of drugs in north west","https://ichef.bbci.co.uk/news/1024/branded_news/6959/production/_104096962_hi000103655.jpg"," The RAPID scheme launched in 2010 and was expanded to the north west in September

More than 6,000 prescription and illegal drugs have been dumped in the first six weeks of an amnesty scheme in the north west.

The Public Health Agency (PHA) said the majority of drugs disposed of have been prescription medications.

Cannabis with an estimated street value of £4,000 has also been dumped in one of the Remove All Prescription and Illegal Drugs initiative (RAPID) bins.

The bins allow people to dispose of drugs without fear of prosecution.

Eight amnesty bins were installed in Londonderry and Strabane in mid-September.

""The Public Health Agency is pleased that the RAPID bins in the north west are providing a safe and discreet method of disposal for illegal and prescription drugs in the community"", the PHA's Denise McCallion said.

'Tragedy to individuals, families and communities'

""Drug misuse, involving both illegal and prescription drugs, is sadly a common issue and causes suffering and tragedy to individuals, families and communities,"" she added.

The RAPID scheme launched in Belfast in 2010 and there are more than 30 bins located across Northern Ireland.

More than 150,000 tablets have been disposed of since the scheme began.

Ms McCallion said the bins are placed in ""a discreet place so tablets can still be disposed of anonymously"" within communities.

The PHA said Diazepam, Pregabalin, Tramadol, Co-codamol and Codeine are among the most common drugs to have been dumped in RAPID bins.","Tue, 30 Oct 2018 09:40:57 GMT"

"Malaria: Sniffer dogs to help in fight to eradicate disease","https://ichef.bbci.co.uk/images/ic/1024x576/p06q6dw7.jpg","  It's suspected that dogs are picking up on the same odours mosquitoes do

Scientists in the UK and The Gambia say they have the first evidence that dogs can sniff out malaria.

They have trained dogs to recognise tell-tale aromas using clothes from people infected with the disease.

It is hoped the animals can be used to stop malaria spreading and eventually help with eradication.

Although the research is still at an early stage, experts say the findings may even lead to new ways of testing for the disease.

Studies have already shown that being infected with the malaria parasite changes our aroma to make us more attractive to the mosquitoes that spread the disease.

Now dogs are on the scent, too.

Smelly socks

Socks worn overnight by children in the Upper River Region of The Gambia, in West Africa, were packaged and shipped to the UK.

Of the 175 pairs sent, 30 had been worn by children infected with the parasite.

The smelly footwear arrived at the Medical Detection Dogs charity in Milton Keynes.

The supremely talented noses there are already being trained to sniff out cancer and even the early stages of Parkinson's disease.

When it came to spotting malaria, the results, presented at the annual conference of the American Society of Tropical Medicine and Hygiene, showed dogs could pick out seven in 10 samples from infected children.

 LSHTM

But they also incorrectly thought one in 10 healthy children had malaria.

Researcher Prof Steve Lindsay, from Durham University, said he was ""really excited"" by the findings so far, but that dogs were not yet ready to be used more routinely.

The researchers still need to improve the dog's accuracy and test them on people rather than socks, as well as investigate whether the animals can sniff out different species of malaria.

The aim is to one day use specially trained dogs at airports to curb the spread of the disease and to find symptomless carriers to help eradication efforts.

Dogs could test a whole community in a short space of time.

Faster than science

Chelci Squires, from the London School of Hygiene and Tropical Medicine, told the BBC: ""Dogs are actually nature's super-smellers so it is a great gift to have them.

""They are much faster than existing rapid diagnostic tests which can take up to 20 minutes and require a fully trained professional to do.""

New tools to detect, treat and prevent malaria are needed as progress is stalling.

According to the last global report on the disease, cases had increased by five million to a new total of 216 million cases a year.

The research was a collaboration between The National Malaria Control Programme in The Gambia; the Medical Research Council Unit, The Gambia; Medical Detection Dogs; Durham University; the London School of Hygiene & Tropical Medicine and the University of Dundee.

Follow James on Twitter.","Mon, 29 Oct 2018 13:59:22 GMT"

"Women over 34 are being refused IVF treatment","https://ichef.bbci.co.uk/news/1024/branded_news/10B55/production/_104073486_ivfstill2_e.jpg"," Charlotte, 38, is considering moving home as she is too old to qualify for IVF in her current area

Women over 34 are being automatically refused IVF treatment on the NHS in 12 areas of England, the Victoria Derbyshire programme has found.

IVF should be offered to women until age 42, guidelines say, but new figures show around 80% of areas are failing to do this.

Campaign group Fertility Fairness said it ""penalises women who take longer to find a partner"".

Health Secretary Matt Hancock said ""blanket bans"" were ""not acceptable"".

Couples in Wales and Scotland are offered IVF until they are 42, as long as certain criteria are met.

You may also be interested in:

'The food supplement that ruined my liver'

The murder that changed America

Sinéad O'Connor converts to Islam

One 38-year-old woman, Charlotte - whose surname we are not using - told the BBC's Victoria Derbyshire programme she was considering moving house to a different area, having been told she was too old to qualify for the procedure in Southampton.

Southampton City Clinical Commissioning Group (CCG) has a cut-off age for women of 34.

""It's just unfair, because I am not over the hill,"" she said.

""To say that 35 and over is the end of having children is ridiculous.""

Charlotte was first tested aged 34, and said the ""most upsetting"" aspect was not being told about the age limit sooner.

""I would have liked to have known when I was younger,"" she said.

""It would have enabled us to make a decision earlier about selling the house, and given us another year on what is already a timed situation.""

Southampton City CCG said it had ""taken into account the relative cost-effectiveness [of IVF] compared to other treatments that could be funded with the resources we have available"".

 

Guidelines from health watchdog NICE recommend that women under 40 should be offered three full cycles of IVF, and those between 40 and 42 one full cycle.

But data from all 195 Clinical Commissioning Groups (CCGs) in England - obtained under the Freedom of Information Act by Fertility Fairness and analysed by the Victoria Derbyshire programme - shows that seven have stopped offering IVF on the NHS entirely.

Of the others, 12 deny treatment to women over 34 - offering only one full cycle to those under that age.

85 CCGs, some 43% of the total, have cut IVF for women over 39.

England's Health Secretary Matt Hancock told Victoria Derbyshire such restrictions were ""not acceptable"".

""Decisions on the treatments that are made available to people should be made on their clinical need,"" he said.

""There is a reason we have guidelines in the first place - and that's to provide the standard the country should expect.""

The Royal College of Obstetricians and Gynaecologists blamed ""inadequate government funding"".

It said it was ""very concerned that women and their partners are turning to costly private clinics for treatment"".

  Happy Birthday IVF: Five things you might not know

Sarah Norcross, co-chair of campaign group Fertility Fairness, told the Victoria Derbyshire programme that it ""penalises the women who take longer to find a partner or wish to put themselves on a secure financial footing before trying to conceive"".

The group's 2018 report into IVF rationing found that 30 CCGs have ""slashed NHS fertility services"" in the last two years.

It said many CCGs were setting their own access criteria - with 27% now using a man's body mass index (BMI) to determine whether a couple can be referred for IVF on the NHS, and 8% stipulating men must be aged below 55.

NHS England said in a statement: ""Ultimately these are decisions for local GPs, who rightly decide how best to balance the various competing demands on the NHS.""

Follow the Victoria Derbyshire programme on Facebook and Twitter.

Watch the programme on weekdays between 09:00 and 11:00 on BBC Two and the BBC News Channel - and see more of our films here.","Mon, 29 Oct 2018 10:03:23 GMT"

"Are supplements safe and do they work?","https://ichef.bbci.co.uk/news/1024/branded_news/6292/production/_104043252_gettyimages-868429656.jpg"," 

The story of a man who ended up needing a liver transplant after taking green tea capsules has brought the topic of dietary supplements back into the news. What are some of the dangers of supplements and what are the health benefits?

When Jim McCants started taking green tea pills he had hoped he was giving his health a shot in the arm.

Instead, it appears the pills caused such serious damage to his liver that it required an urgent transplant.

Experts point out that experiences like that of Mr McCants, are ""extremely unusual"".

In the UK, supplements are subject to EU regulations over their safety and the health claims manufacturers make about the products.

Approved supplements bought from reputable businesses are almost always going to be safe, provided the manufacturer's instructions are followed, doctors say.

But it is wrong to assume that food supplements do not sometimes have the potential to be harmful, says Dr Wayne Carter, from the University of Nottingham.

If you take supplements in quantities above recommended levels there are risks.

While in many cases excess levels of a supplement will be excreted, there is the potential for it to be toxic, particularly to the liver, which detoxifies the substances we consume.

""I think sometimes the idea that people take on board is 'this is good for me, therefore if I take even more of it, it will be even better',"" Dr Carter says.

""This isn't without risk.""

 Jim McCants  Jim McCants needed an urgent liver transplant after taking green tea pills

There is also a potential danger in indiscriminately taking many supplements at the same time, says Dr Carter.

Sometimes they can interact with one another - that is, one supplement may strengthen the effects of another - while in other cases they might contain one or more of the same nutrients, potentially leading to excess levels.

Some of us may be less able to metabolise certain substances effectively, which can also influence how they affect us.

""The caveat with taking a supplement is it could be safe in a broad population, but not in everyone,"" Dr Carter adds.

But if these are some of the potential risks, what are the health benefits?

Supplements for child health

There are some supplements that are widely acknowledged by experts to be of benefit across the population.

The NHS recommends that women who are thinking of having a baby should have a folic acid supplement, as should any pregnant woman up to week 12 of her pregnancy, to prevent common birth defects in babies.

The government this week said it would consult on adding folic acid to flour, following repeated calls for the move from experts.

Vitamin D supplements are also recommended in babies, children between the ages of one and four, and people who are not often exposed to the sun.

This includes those who are frail or housebound or usually wear clothes that cover up most of their skin when outdoors.

The rest of the population is advised to consider taking a Vitamin D supplement.

   The NHS says most people can get all of the vitamins and minerals they need from a balanced diet

A lack of vitamin D, which we mostly get from the sun, can lead to bone deformities such as rickets in children, and bone pain caused by a condition called osteomalacia in adults.

Dr Benjamin Jacobs, a consultant paediatrician at the Royal National Orthopaedic Hospital, said: ""A hundred years ago most children in London had rickets. That was basically abolished by the practice of giving children a vitamin supplement.""

An injection of vitamin K is also offered to babies within the first 24 hours of their life to prevent a rare but serious blood disorder.

'Constantly evolving science'

Dr Jacobs said supplements are also important for people with either restricted diets or allergies.

For example, the NHS says vegans might need a vitamin B12 supplement, because it is only found naturally in foods from animal sources.

However, in many other supplements the evidence of there being a benefit for most people is less clear.

For example, the NHS says that most people do not need to take other vitamin supplements and can get all the vitamins and minerals they need, apart from vitamin D, from a balanced diet.

The benefits of fish oil pills, a supplement linked to a wide range of purported benefits, from improved heart health to boosted brain power, are also not conclusive.

A recent review of scientific trials found the evidence that fish oil pills protect the heart was flimsy at best.

Sam Jennings, a director of Berry Ottaway & Associates Ltd, a consultancy that works with supplement manufacturers, said nutrition was a ""constantly evolving science, there is always new data emerging"".

She added: ""What has become clear is that with supplements the benefits aren't always going to be obvious in all people, because it's going to depend on that individual's own make-up as to whether they will receive benefit from having an extra nutrient of some kind.""

Dr Carter said his own advice would be for people to look at what kind of scientific evidence there was in support of a particular supplement before taking it and check whether there are any warnings.

Tips for taking supplements

Buy supplements from reputable suppliers - they should have gone through rigorous quality assurance

Check if they have been tested in clinical trials with a cohort of people that is similar to them (comparable age, sex)

Look for warnings - for example, people with heart conditions would want to check the supplement is not toxic for the heart

Be cautious about taking multiple supplements at the same time

Stick within recommended doses

Source: Dr Carter","Fri, 26 Oct 2018 23:32:00 GMT"

"More students seek mental health support, analysis shows","https://ichef.bbci.co.uk/news/1024/branded_news/4607/production/_104072971_7f8591a9-244f-4351-801e-a18d60a23ac0.jpg"," 

The number of students seeking mental health support while studying at university has increased by more than 50% in five years, analysis suggests.

The BBC asked universities across the UK for the numbers of students seeking some form of support.

The National Union of Students said young people were under increasing pressure to perform

The Department for Education said universities needed to provide pastoral care for students.

In August, a pre-inquest hearing into the death of a vulnerable student at Bristol University heard she did not receive well-being support. Natasha Abrahart, 20, is one of 11 students at the university to die since October 2016.

The university later issued a statement, saying it had made offers of support towards Ms Abrahart.

'There's a lot of shame attached'

  Mental health at university: Stress made me anxious

Christian Frank, from the University of Birmingham, said: ""Universities are just accepted by students to be a hotbed for stress and anxiety. The drinking culture at university allowed me to hide away, numbing my pain and normalising being exhausted in the day and hyperactive at night.

""I'd been ill throughout the course and talked to the extenuating circumstances officer about how many lectures I'd missed but my anxiety was too high to admit that I had a problem.

""By admitting to someone at the university, I'm telling them that I feel like I'm not good enough to finish a course I signed up for. This means there's a lot of shame attached to asking for help.""

'Seeking help was not made easy'

 Will said he started positively but found it tough being away

Will had gone to university feeling ""quite positive"" but found his mental health deteriorated during the first term.

He admitted things had been tough, being away from his family, and because he had not immediately ""found his feet"" by joining societies and making friends.

Will said the idea of seeking help with mental health issues was not easy.

""On the university mental health counselling website there is a form you fill out that ranks your answers from not at all to very likely - there are a lot of very triggering questions.

""[But it] felt like almost immediately you opened it there's less of a chance you are going to get in because there will be people filling it in as 'likely' for every single thing.""

Two months after completing the form he was emailed to say he had not been accepted for one-on-one counselling.

""I'm feeling better now but was definitely in a worse place after the experience of not getting help,"" he said.

""It's something the uni needs to focus on... and make more personal.""

'He could very easily have been another'

 Erhui1979/Getty

Kayleigh, from the University of Bristol, said: ""A friend of mine was suicidal at uni. We got him referred to the university counselling service but he was on a long waiting list. They suggested he talk to a tutor and maybe if he'd done that he would have got counselling sooner but he was so stressed about the course that he didn't want to. It was really hard to get anyone to take any notice.

""One night he was threatening suicide, I took him to A&E and they sent him home. I didn't know what to do so my mum sent the vice chancellor a very angry email, basically saying, if he dies, it's on your hands. The next day, uni mental health services got in touch and referred him to an emergency external counselling service.

""He ended up dropping out and is much healthier and happier but the uni really should have dealt with it better. Especially since Bristol is in the news about high suicide rates - he could very easily have been another.""

Of 83 universities that provided five years of full data from 2012 to 2017, the number of students seeking help rose from 50,900 to 78,100. The number of students going to university dropped slightly over the same period.

At the same time, budgets towards mental health services increased by more than 40%.

Eva Crossan Jory, the NUS Vice President, said: ""There is a growth in demand [for mental health services] over the last decade, in part, because the reality of studying in the UK has changed so much.

""Many are balancing work, study and caring responsibilities. With fees so high, and the job market so competitive, students feel they have to continually push themselves, perhaps more so than before.""

Universities Minister Sam Gyimah said: ""University is supposed to be an assault on the senses. It should be demanding and disorientating, and with that should come adequate pastoral care for students‎.

""This does not mean mollycoddling or cushioning students from the experiences that are part and parcel of university life, it means making sure support services are available if they need them.""

A University of Bristol spokesperson said it had adopted a university-wide approach to identify vulnerable students as early as possible and get them the right support.

Interested in your local university? Click here for the full data for 162 UK universities.

If you are struggling with your mental health, you can contact:

Samaritans free on 116 123 (UK and Ireland) - 24 hours

Papyrus free on 0800 068 41 41 or text 07786 209697 if you're under 35

YoungMinds Crisis Messenger text YM to 85258 - Texts are free from some service providers

Mind information for mental health telephone support

More about this story

The Shared Data Unit makes data journalism available to news organisations across the media industry, as part of a partnership between the BBC and the News Media Association.

For more information on methodology, click here. Read more about the Local News Partnerships here.

Data chart by Daniel Dunford - BBC Data Journalism

Some names have been changed and stories have been edited for readability and to preserve anonymity.","Mon, 29 Oct 2018 09:59:21 GMT"

"Opt-out organ donation plan wins Commons backing","https://ichef.bbci.co.uk/news/1024/branded_news/87F4/production/_100040843_225ad563-e589-4206-b7c9-73309257bcbc.jpg"," NHS BLOOD AND TRANSPLANT

Hundreds of lives could be saved each year under a new opt-out system for organ donation approved by MPs.

Under the plans, passed by the Commons, adults in England will be presumed to be donors unless they have specifically recorded their decision not to be.

A high-profile media campaign to change the law was inspired by the case of 10-year-old Max Johnson, who was saved by a heart transplant.

If passed by the Lords, the measures would come into effect in spring 2020.

More than 5,000 people are currently waiting for an organ transplant and ministers estimate that the change in the law would save up to 700 lives each year.

The Organ Donation (Deemed Consent) Bill, which has cross-party support and the backing of government, passed its last hurdle in the Commons on Friday.

The private member's bill was tabled by Labour MP Geoffrey Robinson, who was not present in the Commons chamber due to illness.

Speaking on his behalf, Labour's Dan Jarvis said the switch to an opt-out system would add thousands of names to the donor register but people should not be ""shamed"" into consenting.

""This is not about the state taking control of people's organs,"" he said.

""If people do want to opt out that is absolutely fine and I am entirely respectful of any decision of any one for whatever reason so to do, no questions will be asked and there will be no hard feelings.""

The government has said it wants to encourage people to discuss, with their families, the issue of whether they would want to be a donor in the event of their death.

But under the bill's ""soft opt-out"" proposals, the wishes of families and next of kin would continue to be respected, so removal of organs would not go ahead without their support.

There would be exemptions for under-18s and adults not able to make informed decisions. The timetable for its introduction would allow for a year of ""transition"" to the new law.

In Wales, where an opt-out system was introduced in December 2015, there was a small dip in the number of deceased donors, from 64 in 2015-16 to 61 in 2016-17.","Fri, 26 Oct 2018 16:16:19 GMT"

"Plymouth hospital in 'pioneering' deal with private health company","https://ichef.bbci.co.uk/news/1024/branded_news/F110/production/_101221716_gettyimages-97768287-1.jpg"," 

A row has broken out over a deal which will see NHS surgeons carrying out operations in a private hospital.

It covers all non-urgent orthopaedic surgery at Derriford Hospital, part of University Hospitals Plymouth Trust.

A spokesperson for the trust said it was an ""innovative"" and ""pioneering"" partnership which would reduce waiting times for patients.

But Labour said it looked like ""front door privatisation.""

The deal, over a period of a year-and-a-half and involving about 200 cases a month, is said to be the first of its kind between an NHS trust and a private provider.

NHS patients are already able to ask to have an operation at a private hospital and in the past there have been initiatives to reduce NHS waiting lists by paying independent providers to carry out operations.

But this deal will involve NHS consultants and other staff in Plymouth carrying out orthopaedic surgery in a local hospital, Peninsula Treatment Centre, which is run by the private group Care UK.

The trust argues that the move will reduce waiting times for less urgent operations by freeing up operating theatre capacity and virtually eliminate waits of more than a year.

'Innovative'

Ann James, chief executive of University Hospitals Plymouth, said: ""Winter is always a challenging time for the NHS and we are constantly looking at innovative ways to address patient demand.

""Using a trusted independent health provider to create additional capacity at times of high demand ensures that patients are not kept waiting longer than they have to, often in pain.

""With the existing treatment centre less than a mile away, Care UK is uniquely placed to provide the service and the only difference that patients should really notice is that they are now being seen more quickly.""

 Derriford Hospital is part of University Hospitals Plymouth Trust

Last winter, thousands of routine operations were cancelled across the NHS as hospitals were urged to free up beds and theatre capacity for emergency cases.

The Plymouth Trust acknowledges that the new arrangement with Care UK is part of its preparations for the coming winter.

Last time, the hospital had to temporarily convert a planned orthopaedic ward to try to cope with the increase in medical patients.

'Fat cats'

But Labour's Jon Ashworth said: ""This is an unprecedented move that looks like a front door privatisation.

""The fact this hospital feels it has no option but to turn to private sector providers to try to bring waiting lists down and to free up space for winter, blows apart Tory claims that austerity has ended.""

Two Plymouth MPs have clashed over the announcement.

Labour's Luke Pollard tweeted: ""Fat cat private healthcare companies should not be running the NHS and this decision shows just how severe the NHS crisis is locally.

""I will fight privatisation of our NHS all the way.""

But the Conservative Johnny Mercer told the Plymouth Live news website: ""One day local Labour politician wannabes will leave their ideology at the door and actually try and deliver something that improves the lives of Plymothians across our city.

""The move simply means patients receive a better level of service.""","Fri, 26 Oct 2018 15:47:55 GMT"

"Poet Patrick Jones on artistic ways to tackle mental health","https://ichef.bbci.co.uk/news/1024/branded_news/119CC/production/_104104127_p06q9hp0.jpg","
The poet and playwright Patrick Jones has been appointed artist-in-residence with the Royal College of Psychiatrists in Wales.

He has worked on projects with people with dementia in recent years but now is also teaming up with those treating mental health - including GPs and psychiatrists.

As well as encouraging clinicians to be creative themselves, Jones is keen to explore the use of words in building the self-confidence of people with mental health.

He talks about the work ahead - and starts by reading from a poem from a collection My Song, My Story, developed with people with dementia and their families.","Tue, 30 Oct 2018 18:59:53 GMT"

"Charles Lawson: Corrie star gets emotional about mini-stroke","https://ichef.bbci.co.uk/news/1024/branded_news/14F81/production/_104098858_p06q8jpp.jpg","
Actor Charles Lawson knew something was wrong when he suddenly had problems with his vision and hearing one night while performing on stage.

He was playing Ian Rankin's Rebus in Edinburgh, and found out later that he had suffered a mini-stroke. He told BBC Breakfast what happened.","Tue, 30 Oct 2018 12:25:29 GMT"

